Unicode,UTF-8,Description
U+1F1EB U+1F1F4,🇫🇴,flag; Faroe Islands
U+1F1EB U+1F1F7,🇫🇷,flag; France
U+1F1EC U+1F1E6,🇬🇦,flag; Gabon
U+1F1EC U+1F1E7,🇬🇧,flag; United Kingdom
U+1F1EC U+1F1E9,🇬🇩,flag; Grenada
U+1F1EC U+1F1EA,🇬🇪,flag; Georgia
U+1F1EC U+1F1EB,🇬🇫,flag; French Guiana
U+1F1EC U+1F1EC,🇬🇬,flag; Guernsey
U+1F1EC U+1F1ED,🇬🇭,flag; Ghana
U+1F1EC U+1F1EE,🇬🇮,flag; Gibraltar
U+1F1EC U+1F1F1,🇬🇱,flag; Greenland
U+1F1EC U+1F1F2,🇬🇲,flag; Gambia
U+1F1EC U+1F1F3,🇬🇳,flag; Guinea
U+1F1EC U+1F1F5,🇬🇵,flag; Guadeloupe
U+1F1EC U+1F1F6,🇬🇶,flag; Equatorial Guinea
U+1F1EC U+1F1F7,🇬🇷,flag; Greece
U+1F1EC U+1F1F8,🇬🇸,flag; South Georgia & South Sandwich Islands
U+1F1EC U+1F1F9,🇬🇹,flag; Guatemala
U+1F1EC U+1F1FA,🇬🇺,flag; Guam
U+1F1EC U+1F1FC,🇬🇼,flag; Guinea-Bissau
U+1F1EC U+1F1FE,🇬🇾,flag; Guyana
U+1F1ED U+1F1F0,🇭🇰,flag; Hong Kong SAR China
U+1F1ED U+1F1F2,🇭🇲,flag; Heard & McDonald Islands
U+1F1ED U+1F1F3,🇭🇳,flag; Honduras
U+1F1ED U+1F1F7,🇭🇷,flag; Croatia
U+1F1ED U+1F1F9,🇭🇹,flag; Haiti
U+1F1ED U+1F1FA,🇭🇺,flag; Hungary
U+1F1EE U+1F1E8,🇮🇨,flag; Canary Islands
U+1F1EE U+1F1E9,🇮🇩,flag; Indonesia
U+1F1EE U+1F1EA,🇮🇪,flag; Ireland
U+1F1EE U+1F1F1,🇮🇱,flag; Israel
U+1F1EE U+1F1F2,🇮🇲,flag; Isle of Man
U+1F1EE U+1F1F3,🇮🇳,flag; India
U+1F1EE U+1F1F4,🇮🇴,flag; British Indian Ocean Territory
U+1F1EE U+1F1F6,🇮🇶,flag; Iraq
U+1F1EE U+1F1F7,🇮🇷,flag; Iran
U+1F1EE U+1F1F8,🇮🇸,flag; Iceland
U+1F1EE U+1F1F9,🇮🇹,flag; Italy
U+1F1EF U+1F1EA,🇯🇪,flag; Jersey
U+1F1EF U+1F1F2,🇯🇲,flag; Jamaica
U+1F1EF U+1F1F4,🇯🇴,flag; Jordan
U+1F1EF U+1F1F5,🇯🇵,flag; Japan
U+1F1F0 U+1F1EA,🇰🇪,flag; Kenya
U+1F1F0 U+1F1EC,🇰🇬,flag; Kyrgyzstan
U+1F1F0 U+1F1ED,🇰🇭,flag; Cambodia
U+1F1F0 U+1F1EE,🇰🇮,flag; Kiribati
U+1F1F0 U+1F1F2,🇰🇲,flag; Comoros
U+1F1F0 U+1F1F3,🇰🇳,flag; St. Kitts & Nevis
U+1F1F0 U+1F1F5,🇰🇵,flag; North Korea
U+1F1F0 U+1F1F7,🇰🇷,flag; South Korea
U+1F1F0 U+1F1FC,🇰🇼,flag; Kuwait
U+1F1F0 U+1F1FE,🇰🇾,flag; Cayman Islands
U+1F1F0 U+1F1FF,🇰🇿,flag; Kazakhstan
U+1F1F1 U+1F1E6,🇱🇦,flag; Laos
U+1F1F1 U+1F1E7,🇱🇧,flag; Lebanon
U+1F1F1 U+1F1E8,🇱🇨,flag; St. Lucia
U+1F1F1 U+1F1EE,🇱🇮,flag; Liechtenstein
U+1F1F1 U+1F1F0,🇱🇰,flag; Sri Lanka
U+1F1F1 U+1F1F7,🇱🇷,flag; Liberia
U+1F1F1 U+1F1F8,🇱🇸,flag; Lesotho
U+1F1F1 U+1F1F9,🇱🇹,flag; Lithuania
U+1F1F1 U+1F1FA,🇱🇺,flag; Luxembourg
U+1F1F1 U+1F1FB,🇱🇻,flag; Latvia
U+1F1F1 U+1F1FE,🇱🇾,flag; Libya
U+1F1F2 U+1F1E6,🇲🇦,flag; Morocco
U+1F1F2 U+1F1E8,🇲🇨,flag; Monaco
U+1F1F2 U+1F1E9,🇲🇩,flag; Moldova
U+1F1F2 U+1F1EA,🇲🇪,flag; Montenegro
U+1F1F2 U+1F1EB,🇲🇫,flag; St. Martin
